Issue Type,Summary,Description,Story Points,Priority,Epic Link,Sprint,Labels
Story,[US-01] Self-service intake,"As an employee, I want to submit an equipment request through a self-service portal with structured fields (item, cost center, justification) so that my request is captured completely without email back-and-forth.",5,Highest,Equipment/Tool Request Approval Automation,Sprint 1,"digital-workplace,automation-pilot"
Story,[US-02] Policy validation,"As the system, I want to validate each request against policy and budget rules automatically so that invalid or unbudgeted requests are flagged before reaching an approver.",8,Highest,Equipment/Tool Request Approval Automation,Sprint 1,"digital-workplace,automation-pilot"
Story,[US-03] Auto-routing,"As the system, I want to auto-route validated requests to the correct approver using a cost-center matrix so that requests reach the right person without manual forwarding.",5,Highest,Equipment/Tool Request Approval Automation,Sprint 1,"digital-workplace,automation-pilot"
Story,[US-04] SLA-timed approval,"As an approver, I want a defined SLA window to approve or reject requests so that requests don't stall indefinitely.",3,Highest,Equipment/Tool Request Approval Automation,Sprint 2,"digital-workplace,automation-pilot"
Story,[US-05] Auto-escalation,"As the system, I want to auto-escalate unactioned requests to the next-level approver so that delays resolve without manual follow-up.",3,High,Equipment/Tool Request Approval Automation,Sprint 2,"digital-workplace,automation-pilot"
Story,[US-06] Auto-generated fulfillment ticket,"As IT/Procurement, I want an auto-generated, pre-populated fulfillment ticket after approval so that I don't manually re-enter request details.",5,Highest,Equipment/Tool Request Approval Automation,Sprint 2,"digital-workplace,automation-pilot"
Story,[US-07] Status visibility,"As an employee, I want to see the real-time status of my request so that I don't need to email IT to check progress.",3,High,Equipment/Tool Request Approval Automation,Sprint 3,"digital-workplace,automation-pilot"
Story,[US-08] Auto-close,"As IT/Procurement, I want the ticket to auto-close once equipment is marked delivered so that closed tickets don't need manual cleanup.",2,Highest,Equipment/Tool Request Approval Automation,Sprint 3,"digital-workplace,automation-pilot"
Story,[US-09] Explicit rejection path,"As an approver, I want to reject a request with a stated reason so that the requester understands why it did not proceed, instead of the request simply stalling.",2,Highest,Equipment/Tool Request Approval Automation,Sprint 2,"digital-workplace,automation-pilot"
Story,[US-10] Bottleneck dashboard,"As a Digital Workplace analyst, I want a dashboard of average cycle time and approval delay by cost center so that I can identify bottlenecks after launch.",8,Medium,Equipment/Tool Request Approval Automation,Backlog,"digital-workplace,automation-pilot"
